-----------------------------
name,sizeAligned,version,offset,value3,messageId
ClientRegionMessages::DebugTimeChangeToClient,80,1,0x1C2C440,0,0x5178DC5E
ClientRegionMessages::VisualDebuggerCaptureToServer,80,2,0x1C2C4B0,140699510572464,0x741CA9B
ClientRegionMessages::VisualDebuggerCaptureToClient,112,1,0x1C2C520,0,0xF66AD9BF
ClientRegionMessages::ScriptModalDialog,88,1,0x1C2C590,0,0x88023C72
ClientRegionMessages::ScriptModalDialogResponse,40,1,0x1C2C600,0,0xB34F3A45
ClientRegionMessages::TwitchEventSubscription,16,1,0x1C2C7E0,0,0x981AB0D6
ClientRegionMessages::TwitchEvent,32,1,0x1C2C960,0,0x28F54053
ClientRegionMessages::ClientStaticReady,16,1,0x1C2C9D0,0,0xF8E77C8E
ClientRegionMessages::ClientDynamicReady,96,1,0x1C2CB50,0,0x575AC239
ClientRegionMessages::InitialChunkSubscribed,16,1,0x1C2CBC0,0,0xB4E1AB7B
ClientRegionMessages::ClientRegionCommandMessage,32,1,0x1C2CD40,0,0xECE56EFD
ClientRegionMessages::ClientKickNotification,32,1,0x1C2CEA0,0,0x4B68A51C
ClientRegionMessages::ClientSmiteNotification,32,1,0x1C2D000,0,0x58003034
ClientRegionMessages::ClientMuteNotification,32,1,0x1C2D160,0,0x6188A537
ClientRegionMessages::ClientVoiceBroadcastStartNotification,32,1,0x1C2D2C0,0,0x7E28AEAF
ClientRegionMessages::ClientVoiceBroadcastStopNotification,32,1,0x1C2D420,0,0xC33DE58B
ClientRegionMessages::ClientRuntimeInventoryUpdatedNotification,32,1,0x1C2D580,0,0x9643B9C3
ClientRegionMessages::ClientSetRegionBroadcasted,16,1,0x1C2D6E0,0,0x87341F77
ClientRegionMessages::SubscribeCommand,40,1,0x1C2D860,0,0xABDA80C7
ClientRegionMessages::UnsubscribeCommand,40,1,0x1C2DA30,0,0xA36E9F9C
ClientRegionMessages::ClientCommand,128,1,0x1C2DC10,0,0xB87F9C66
ClientRegionMessages::RequestDropPortal,56,1,0x1C2DC80,0,0x7D22C30C
ClientRegionMessages::OpenStoreListing,24,1,0x1C2DE40,0,0x5C1A8D7D
ClientRegionMessages::OpenUserStore,32,1,0x1C2DF90,0,0x53078A1E
ClientRegionMessages::OpenQuestCharacterDialog,24,1,0x1C2E0F0,0,0x4221836F
ClientRegionMessages::UIScriptableBarStart,128,1,0x1C2E240,0,0x36164050
ClientRegionMessages::UIScriptableBarStopped,32,1,0x1C2E2B0,0,0xBAFD799D
ClientRegionMessages::UIScriptableBarCancel,16,1,0x1C2E320,0,0x604E18DE
ClientRegionMessages::UIHintTextUpdate,32,1,0x1C2E4A0,0,0x64225637
ClientRegionMessages::QuestOfferResponse,48,1,0x1C2E600,0,0x4DB48E35
ClientRegionMessages::QuestCompleted,48,1,0x1C2E670,0,0xE1EE5F5D
ClientRegionMessages::QuestRemoved,24,1,0x1C2E6E0,0,0x34793AB0
ClientRegionMessages::ShowWorldDetail,40,1,0x1C2E830,0,0x5F483F0C
ClientRegionMessages::ShowTutorialHint,16,1,0x1C2EA00,0,0x581827CC
ClientRegionMessages::TutorialHintsSetEnabled,16,1,0x1C2EA70,0,0xE4C496DF
ClientRegionMessages::ReactionDefinition,72,1,0x1C2EBF0,0,0x1753788
ClientRegionMessages::SystemReactionDefinition,80,1,0x1C2EC60,0,0xFA87F231
ClientRegionMessages::UpdateReactions,88,1,0x1C2ECD0,0,0x9B5B20E9
ClientRegionMessages::AddReaction,72,1,0x1C2EE60,0,0x28323E96
ClientRegionMessages::RemoveReaction,32,1,0x1C2EED0,0,0x3F337471
RegionRegionMessages::DynamicSubscribe,8,1,0x1C42A70,0,0x513700E2
RegionRegionMessages::DynamicPlayback,8,1,0x1C42B90,0,0xE87C89BB
RegionRegionMessages::MasterFrameSync,16,1,0x1C42CB0,0,0x5A4AFA33
RegionRegionMessages::AgentControllerMapping,32,1,0x1C42E30,0,0xBB5865E8
WorldStateMessages::CreateWorld,32,1,0x1C467F0,0,0x685B436C
WorldStateMessages::DestroyWorld,16,1,0x1C46860,0,0x20C45982
WorldStateMessages::RigidBodyComponentInitialState,48,1,0x1C469E0,0,0x65C105B
WorldStateMessages::AnimationComponentInitialState,80,1,0x1C46A50,0,0xDE87FDD8
WorldStateMessages::LoadClusterDefinition,32,1,0x1C46AC0,0,0xA5C4FB23
WorldStateMessages::ComponentRelativeTransform,64,1,0x1C46C70,0,0x941E6445
WorldStateMessages::InitiateCluster,144,2,0x1C46CE0,140699510578160,0x349AD257
WorldStateMessages::CreateClusterViaDefinition,64,1,0x1C46D50,0,0x73810D53
WorldStateMessages::DestroyCluster,24,1,0x1C46DC0,0,0x2926D248
WorldStateMessages::DestroyObject,16,1,0x1C46E30,0,0x5749A1CD
WorldStateMessages::DestroySourceIdSpace,16,1,0x1C46FB0,0,0x1505C6D8
WorldStateMessages::CreateCharacterNode,16,3,0x1C47130,140699510578720,0x32DC63D7
WorldStateMessages::CreateAgentController,96,5,0x1C471A0,140699510579120,0xF555FE2D
WorldStateMessages::DestroyAgentController,24,1,0x1C47210,0,0x16406FB7
ClientVoiceMessages::Login,56,1,0x1EEAFC0,0,0x59AC5555
ClientVoiceMessages::LoginReply,40,1,0x1EEB030,0,0xA6972017
ClientVoiceMessages::AudioData,64,1,0x1EEB210,0,0x5A978A32
ClientVoiceMessages::SpeechGraphicsData,56,1,0x1EEB280,0,0xD9306963
ClientVoiceMessages::LocalAudioData,120,1,0x1EEB2F0,0,0xD50D087
ClientVoiceMessages::LocalAudioStreamState,32,1,0x1EEB360,0,0xF2FB6AD0
ClientVoiceMessages::LocalAudioPosition,64,1,0x1EEB3D0,0,0x1798BA9C
ClientVoiceMessages::LocalAudioMute,16,1,0x1EEB440,0,0x56800096
ClientVoiceMessages::LocalSetRegionBroadcasted,16,1,0x1EEB4B0,0,0x573EE089
ClientVoiceMessages::LocalSetMuteAll,16,1,0x1EEB630,0,0x90DA7ED3
ClientVoiceMessages::GroupAudioData,96,1,0x1EEB7B0,0,0x47C4FFDF
ClientVoiceMessages::LocalTextData,56,1,0x1EEB820,0,0xC91B2D1C
ClientVoiceMessages::MasterInstance,24,1,0x1EEB890,0,0x88C28A79
ClientVoiceMessages::VoiceModerationCommand,32,1,0x1EEB9E0,0,0x3F7171FB
ClientVoiceMessages::VoiceModerationCommandResponse,40,1,0x1EEBB40,0,0x742CE528
ClientVoiceMessages::VoiceNotification,32,1,0x1EEBD10,0,0x3A168D81
